Any,id_rs,rs,id_aga,aga,sexe,edat,Nse_baix,Nou_pacient,pcsm,pccsm,pacients,visites,Poblacio
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,0,1,1,0,1,3,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,0,1,1,1,10,54,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,1,0,0,0,4,45,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,1,0,1,0,3,11,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,1,0,1,1,26,530,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,1,1,1,1,1,3,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,0,0,0,0,25,133,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,0,0,1,0,18,142,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,0,0,1,1,6,47,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,0,1,0,0,27,88,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,0,1,1,0,4,19,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,0,1,1,1,5,23,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,1,0,0,0,20,121,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,1,0,1,0,22,318,2332
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,6.joulu,1,0,1,1,15,231,2332
