"","any","id_rs","rs","id_aga","aga","sexe","grup_edat","nse_baix","nou_pacient","pcsm","pccsm","pacients","visites"
"263",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",0,0,0,0,6,60
"264",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",0,0,1,0,9,88
"265",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",0,0,1,1,50,884
"266",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",0,1,0,0,12,40
"267",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",0,1,1,0,3,17
"268",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",0,1,1,1,7,46
"269",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",1,0,0,0,2,15
"270",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",1,0,1,1,15,265
"271",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",1,1,0,0,1,7
"272",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",1,1,1,0,1,2
"273",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"35-44",1,1,1,1,2,2
"274",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",0,0,0,0,9,125
"275",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",0,0,1,0,2,32
"276",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",0,0,1,1,50,827
"277",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",0,1,0,0,6,36
"278",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",0,1,1,0,3,36
"279",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",0,1,1,1,5,55
"280",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",1,0,0,0,1,8
"281",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",1,0,1,0,2,33
"282",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",1,0,1,1,24,491
"283",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",1,1,0,0,2,6
"284",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",1,1,1,0,1,2
"285",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"45-54",1,1,1,1,5,41
"286",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",0,0,0,0,2,14
"287",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",0,0,1,0,7,59
"288",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",0,0,1,1,36,550
"289",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",0,1,0,0,7,22
"290",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",0,1,1,0,1,3
"291",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",0,1,1,1,10,54
"292",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",1,0,0,0,4,45
"293",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",1,0,1,0,3,11
"294",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",1,0,1,1,26,530
"295",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"55-64",1,1,1,1,1,3
"296",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"6-12",0,0,0,0,25,133
